name,tag_type,Service_Tags
Planet Fitness,tag1,Gyms
Equinox Brookfield Place,tag1,Gyms
Life Time,tag1,Gyms
Just Train,tag1,Trainers
Maximum Motion Fitness,tag1,Gyms
Equinox Tribeca,tag1,Gyms
Crunch Fitness - 34th Street,tag1,Trainers
GHOST Williamsburg,tag1,Gyms
Oculus Fitness,tag1,Interval Training Gyms
Asphalt Green - Battery Park City,tag1,Swimming Pools
NY Fitness,tag1,Trainers
TMPL - West Village,tag1,Gyms
Sweat440,tag1,Circuit Training Gyms
Gotham Gym,tag1,Gyms
Tone House,tag1,Gyms
305 Fitness,tag1,Cardio Classes
Fitness Factory,tag1,Gyms
Solace,tag1,Gyms
Equinox Dumbo,tag1,Gyms
The Trinity Boxing Club,tag1,Boxing
SportsLab NYC,tag1,Trainers
Row House Fitness Jersey City,tag1,Cardio Classes
Snap Fitness,tag1,Gyms
Life Time,tag1,Gyms
New York Athletic Club,tag1,Sports Clubs
Encore Fitness,tag1,Trainers
Equinox Printing House,tag1,Gyms
Equinox,tag1,Gyms
The Training Lab,tag1,Gyms
CompleteBody Midtown East,tag1,Gyms
Gleason's Gym,tag1,Gyms
Chelsea Piers Fitness,tag1,Gyms
Liftonic,tag1,Gyms
New York Sports Club,tag1,Gyms
CompleteBody -  Financial District,tag1,Trainers
Life Time One Wall Street,tag1,Gyms
Equinox Wall Street,tag1,Gyms
Crunch Fitness - FiDi,tag1,Gyms
Planet Fitness,tag1,Gyms
Sweat440,tag1,Circuit Training Gyms
Just Train,tag1,Trainers
The Terrace Club,tag1,Gyms
Orangetheory Fitness,tag1,Gyms
Blink Fitness - FiDi,tag1,Gyms
CrossFit Wall Street,tag1,Interval Training Gyms
Sculpt New York,tag1,Trainers
Retro Fitness,tag1,Gyms
Oculus Fitness,tag1,Interval Training Gyms
Sweat W Downtown,tag1,Gyms
Life Time,tag1,Gyms
Pure Barre,tag1,Barre Classes
CBXT,tag1,Cardio Classes
NY Fitness,tag1,Trainers
SoulCycle Financial District,tag1,Cycling Classes
Equinox Tribeca,tag1,Gyms
Equinox Brookfield Place,tag1,Gyms
Jfitnyc,tag1,Trainers
LA PALESTRA,tag1,Interval Training Gyms
The Trinity Boxing Club,tag1,Boxing
Gloveworx,tag1,Boxing
Team in Training,tag1,Trainers
The Class,tag1,Cardio Classes
Hydra Studios,tag1,Gyms
Solidcore - Fidi,tag1,Pilates
Chinatown Flow,tag1,Gyms
Square Circle New York,tag1,Martial Arts
Church Street Boxing Gym,tag1,Boxing
UpFit Training Academy,tag1,Trainers
Shape Fitness For Women,tag1,Weight Loss Centers
HIIT The Deck,tag1,Boxing
Bout Fight Club,tag1,Boxing
Momentum Fitness,tag1,Physical Therapy
Fusion Physical Therapy & Sports Performance,tag1,Physical Therapy
Court 16 - Manhattan,tag1,Tennis
NYFitness,tag1,Trainers
